districtid,weekid,neighborhoodzscore,statezscore
101,1,0.0,0.0
101,2,0.0,0.0
101,3,0.0,0.0
101,4,0.0,0.0
101,5,0.0,0.0
101,6,0.0,0.0
101,7,-0.58,-0.24
101,8,-0.53,-0.29
101,9,-0.5,-0.29
101,10,-0.49,-0.35
101,11,-0.74,-0.37
101,12,-1.26,-0.42
101,13,-1.5,-0.38
101,14,-1.36,-0.36
101,15,-2.55,-0.45
101,16,-1.26,-0.47
101,17,-0.84,-0.41
101,18,-1.09,-0.44
101,19,-0.89,-0.39
101,20,-2.44,-0.44
101,21,-1.37,-0.48
101,22,-1.65,-0.43
101,23,-1.91,-0.47
101,24,-2.06,-0.54
101,25,-1.02,-0.49
102,1,0.0,0.0
102,2,0.0,0.0
102,3,0.0,0.0
102,4,0.0,0.0
102,5,0.0,0.0
102,6,0.0,0.0
102,7,9.04,13.73
102,8,10.6,10.48
102,9,10.49,3.65
102,10,1.6,0.72
102,11,0.08,0.39
102,12,0.01,0.95
102,13,0.15,0.9
102,14,0.12,0.85
102,15,-0.74,-0.1
102,16,-0.25,0.14
102,17,0.12,-0.0
102,18,0.01,-0.29
102,19,0.11,-0.29
102,20,1.08,-0.31
102,21,0.8,-0.3
102,22,0.36,-0.35
102,23,-0.05,-0.39
102,24,0.85,-0.31
102,25,2.21,-0.01
103,1,0.0,0.0
103,2,0.0,0.0
103,3,0.0,0.0
103,4,0.0,0.0
103,5,0.0,0.0
103,6,0.0,0.0
103,7,90.8,47.18
103,8,104.08,44.34
103,9,160.15,62.32
103,10,119.43,37.52
103,11,115.29,31.54
103,12,42.59,22.16
103,13,136.87,25.42
103,14,81.5,20.61
103,15,71.42,7.77
103,16,62.13,5.19
103,17,15.22,3.26
103,18,11.44,3.31
103,19,14.95,3.43
103,20,10.87,2.66
103,21,9.42,2.81
103,22,11.27,2.8
103,23,10.7,2.99
103,24,9.03,2.69
103,25,8.82,2.43
104,1,0.0,0.0
104,2,0.0,0.0
104,3,0.0,0.0
104,4,0.0,0.0
104,5,0.0,0.0
104,6,0.0,0.0
104,7,-1.01,-0.23
104,8,-0.79,-0.27
104,9,-0.81,-0.29
104,10,-0.72,-0.27
104,11,-0.67,-0.29
104,12,-0.66,-0.27
104,13,-0.69,-0.33
104,14,-0.71,-0.36
104,15,-0.67,-0.37
104,16,-0.65,-0.36
104,17,-0.68,-0.34
104,18,-0.68,-0.33
104,19,-0.53,-0.06
104,20,-0.42,0.15
104,21,-0.32,0.37
104,22,-0.29,0.51
104,23,-0.39,0.25
104,24,-0.3,0.27
104,25,-0.33,0.2
105,1,0.0,0.0
105,2,-0.37,0.0
105,3,-0.4,0.0
105,4,-0.38,0.0
105,5,-0.38,0.0
105,6,-0.37,0.0
105,7,-0.38,0.0
105,8,-0.38,0.0
105,9,-0.45,0.0
105,10,-0.42,0.0
105,11,-0.39,0.0
105,12,-0.37,23.51
105,13,-0.47,-0.17
105,14,-0.47,0.14
105,15,-0.44,10.25
105,16,-0.4,-0.27
105,17,-0.38,11.93
105,18,-0.38,10.55
105,19,-0.37,21.91
105,20,-0.39,49.56
105,21,-0.39,9.24
105,22,-0.39,2.74
105,23,-0.38,5.05
105,24,-0.39,11.23
105,25,-0.39,7.95
106,1,0.0,0.0
106,2,0.0,0.0
106,3,0.0,0.0
106,4,0.0,0.0
106,5,0.0,0.0
106,6,0.0,0.0
106,7,0.17,0.51
106,8,-0.05,0.31
106,9,-0.27,0.08
106,10,-0.98,-0.34
106,11,-0.6,-0.08
106,12,-0.59,-0.29
106,13,-0.33,-0.1
106,14,-0.61,-0.39
106,15,-0.43,-0.29
106,16,-0.05,0.02
106,17,-0.04,0.2
106,18,0.56,0.76
106,19,1.08,0.89
106,20,0.86,0.82
106,21,0.69,1.05
106,22,0.88,1.07
106,23,0.34,0.93
106,24,-0.05,0.35
106,25,-0.02,0.41
107,1,0.0,0.0
107,2,0.0,0.0
107,3,0.0,0.0
107,4,0.0,0.0
107,5,0.0,0.0
107,6,0.0,0.0
107,7,2.63,-0.2
107,8,2.64,-0.17
107,9,8.18,-0.21
107,10,4.3,-0.19
107,11,5.95,-0.19
107,12,4.11,-0.2
107,13,22.85,-0.22
107,14,4.51,-0.29
107,15,5.24,-0.3
107,16,2.46,-0.34
107,17,1.93,-0.36
107,18,0.06,-0.4
107,19,-0.37,-0.38
107,20,-0.16,-0.44
107,21,-1.08,-0.53
107,22,-0.81,-0.61
107,23,-0.83,-0.61
107,24,-0.84,-0.58
107,25,-0.52,-0.61
108,1,0.0,0.0
108,2,0.0,0.0
108,3,0.0,0.0
108,4,0.0,0.0
108,5,0.0,0.0
108,6,0.0,0.0
108,7,-0.87,-1.02
108,8,-0.5,-0.47
108,9,0.86,-0.66
108,10,0.76,-0.3
108,11,1.64,-0.3
108,12,0.28,-0.04
108,13,2.01,0.11
108,14,-1.86,-0.33
108,15,3.16,1.01
108,16,1.02,0.18
108,17,2.64,0.61
108,18,0.64,0.18
108,19,0.15,0.13
108,20,-1.78,-0.43
108,21,1.31,0.22
108,22,1.14,0.02
108,23,1.04,0.1
108,24,1.62,0.32
108,25,-0.78,-0.35
109,1,0.0,0.0
109,2,0.0,0.0
109,3,0.0,0.0
109,4,0.0,0.0
109,5,0.0,0.0
109,6,0.0,0.0
109,7,1.27,0.93
109,8,-0.03,0.07
109,9,0.02,-0.05
109,10,1.51,1.48
109,11,0.15,0.08
109,12,-0.18,0.24
109,13,-0.12,0.61
109,14,-0.14,0.67
109,15,-0.14,0.4
109,16,0.0,0.52
109,17,-0.08,0.21
109,18,-0.09,0.02
109,19,0.21,-0.01
109,20,0.64,-0.02
109,21,2.24,0.27
109,22,2.03,0.18
109,23,2.12,0.34
109,24,2.88,0.58
109,25,2.55,0.66
110,1,0.0,0.0
110,2,0.0,0.0
110,3,-0.58,0.0
110,4,-0.58,0.0
110,5,-0.58,0.0
110,6,-0.57,0.0
110,7,-0.58,0.0
110,8,-0.53,-0.38
110,9,-0.58,-0.43
110,10,-0.58,-0.47
110,11,-0.61,-0.68
110,12,-0.66,-0.69
110,13,-0.72,-0.53
110,14,-0.52,-0.08
110,15,-0.57,-0.49
110,16,-0.59,-0.54
110,17,-0.6,-0.54
110,18,-0.61,-0.57
110,19,-0.62,-0.57
110,20,-0.6,-0.49
110,21,-0.6,-0.52
110,22,-0.59,-0.53
110,23,-0.6,-0.58
110,24,-0.58,-0.33
110,25,-0.58,-0.14
111,1,0.0,0.0
111,2,0.0,0.0
111,3,0.0,0.0
111,4,0.0,0.0
111,5,0.0,0.0
111,6,0.0,0.0
111,7,-0.62,-0.25
111,8,-0.75,-0.31
111,9,-0.96,-0.29
111,10,-1.82,-0.35
111,11,-1.14,-0.37
111,12,-1.51,-0.44
111,13,-1.62,-0.39
111,14,-0.78,-0.38
111,15,-0.92,-0.45
111,16,-0.71,-0.4
111,17,-1.5,-0.45
111,18,-0.9,-0.36
111,19,-0.63,-0.22
111,20,-0.58,-0.21
111,21,-1.21,-0.4
111,22,-0.36,-0.21
111,23,-0.41,-0.19
111,24,-0.3,-0.08
111,25,-0.23,-0.12
112,1,0.0,0.0
112,2,0.0,0.0
112,3,0.0,0.0
112,4,0.0,0.0
112,5,0.0,0.0
112,6,0.0,0.0
112,7,0.0,-0.42
112,8,0.0,-0.39
112,9,0.0,-0.27
112,10,-0.37,-0.39
112,11,0.07,-0.02
112,12,-0.18,-0.34
112,13,-1.78,-0.76
112,14,3.51,0.64
112,15,0.28,0.04
112,16,-0.04,-0.25
112,17,-0.09,-0.46
112,18,-0.39,-0.61
112,19,0.02,-0.43
112,20,-0.26,-0.56
112,21,-0.58,-0.81
112,22,-0.17,-0.53
112,23,-0.4,-0.76
112,24,-0.17,-0.63
112,25,-0.01,-0.51
113,1,0.0,0.0
113,2,0.0,0.0
113,3,0.0,0.0
113,4,0.0,0.0
113,5,0.0,0.0
113,6,0.0,0.0
113,7,-0.35,-0.29
113,8,-0.34,-0.3
113,9,-0.36,-0.35
113,10,-0.36,-0.62
113,11,-0.61,-0.68
113,12,-0.57,-0.27
113,13,0.27,1.1
113,14,-0.32,0.3
113,15,-0.13,0.53
113,16,0.76,1.51
113,17,2.19,2.2
113,18,1.91,2.17
113,19,4.99,3.71
113,20,3.78,4.62
113,21,2.66,3.35
113,22,1.23,1.55
113,23,0.84,1.71
113,24,0.55,1.33
113,25,0.26,1.02
114,1,0.0,0.0
114,2,0.0,0.0
114,3,0.0,0.0
114,4,0.0,0.0
114,5,0.0,0.0
114,6,0.0,0.0
114,7,-0.59,-0.3
114,8,6.33,0.65
114,9,-0.82,-0.52
114,10,-0.62,-0.6
114,11,0.42,-0.32
114,12,2.59,-0.3
114,13,12.32,-0.13
114,14,3.07,-0.19
114,15,0.64,-0.37
114,16,0.72,-0.37
114,17,0.95,-0.19
114,18,2.0,0.41
114,19,1.68,0.6
114,20,1.37,0.58
114,21,0.55,0.83
114,22,0.17,0.96
114,23,0.02,1.17
114,24,-0.16,0.69
114,25,0.16,0.65
115,1,0.0,0.0
115,2,0.0,0.0
115,3,0.0,0.0
115,4,0.0,0.0
115,5,0.0,0.0
115,6,0.0,0.0
115,7,-0.79,-0.38
115,8,-1.0,-0.4
115,9,-0.59,-0.38
115,10,-0.45,0.26
115,11,-0.79,0.19
115,12,-1.11,-0.27
115,13,-0.87,-0.47
115,14,-1.47,-0.62
115,15,-1.77,-0.51
115,16,-1.09,-0.48
115,17,-1.46,-0.62
115,18,-1.67,-0.7
115,19,-1.33,-0.64
115,20,-1.6,-0.65
115,21,-1.11,-0.49
115,22,-0.99,-0.46
115,23,-0.68,-0.48
115,24,-0.7,-0.56
115,25,-0.74,-0.53
116,1,0.0,0.0
116,2,0.0,0.0
116,3,0.0,0.0
116,4,0.0,0.0
116,5,0.0,0.0
116,6,0.0,0.0
116,7,-0.62,-0.38
116,8,3.16,-0.23
116,9,-0.15,-0.05
116,10,-0.73,0.03
116,11,4.33,4.01
116,12,6.27,0.95
116,13,-0.42,-0.41
116,14,0.78,-0.09
116,15,-0.49,-0.42
116,16,-0.67,-0.51
116,17,-0.68,-0.52
116,18,-1.36,-0.64
116,19,-2.4,-0.57
116,20,-1.8,-0.65
116,21,-2.8,-0.45
116,22,-1.18,-0.36
116,23,-1.13,-0.47
116,24,-0.78,-0.43
116,25,-0.88,-0.34
117,1,0.0,0.0
117,2,0.0,0.0
117,3,0.0,0.0
117,4,0.0,0.0
117,5,0.0,0.0
117,6,0.0,0.0
117,7,-0.07,-0.22
117,8,0.81,-0.23
117,9,-0.35,-0.28
117,10,0.11,-0.24
117,11,0.18,-0.27
117,12,0.35,-0.28
117,13,-0.2,-0.32
117,14,0.21,-0.34
117,15,0.54,-0.36
117,16,0.61,-0.37
117,17,0.89,-0.38
117,18,1.28,-0.36
117,19,0.89,-0.35
117,20,0.35,-0.38
117,21,0.23,-0.42
117,22,0.01,-0.49
117,23,-0.01,-0.47
117,24,-0.1,-0.47
117,25,-0.18,-0.55
118,1,0.0,0.0
118,2,0.0,0.0
118,3,0.0,0.0
118,4,0.0,0.0
118,5,0.0,0.0
118,6,0.0,0.0
118,7,-1.09,-0.23
118,8,-0.9,-0.24
118,9,-1.31,-0.22
118,10,-0.9,-0.25
118,11,-0.25,-0.24
118,12,-0.39,-0.26
118,13,-0.32,-0.23
118,14,0.02,-0.24
118,15,-0.46,-0.29
118,16,-0.61,-0.31
118,17,-0.89,-0.37
118,18,-0.82,-0.32
118,19,-0.87,-0.35
118,20,-0.34,-0.18
118,21,-0.58,-0.19
118,22,-0.15,0.0
118,23,-0.2,-0.07
118,24,-0.49,-0.23
118,25,-0.4,-0.21
119,1,0.0,0.0
119,2,0.0,0.0
119,3,0.0,0.0
119,4,0.0,0.0
119,5,0.0,0.0
119,6,0.0,0.0
119,7,23.79,5.84
119,8,0.83,2.82
119,9,1.48,0.41
119,10,3.03,1.73
119,11,17.33,6.04
119,12,11.49,4.03
119,13,18.67,6.0
119,14,27.37,2.15
119,15,7.61,1.13
119,16,6.59,0.43
119,17,3.73,0.27
119,18,18.6,0.67
119,19,26.74,0.99
119,20,3.72,0.99
119,21,2.65,0.34
119,22,3.28,0.35
119,23,3.3,-0.03
119,24,0.44,0.35
119,25,2.53,0.88
120,1,0.0,0.0
120,2,0.0,0.0
120,3,0.0,0.0
120,4,0.0,0.0
120,5,0.0,0.0
120,6,0.0,0.0
120,7,-1.02,-0.15
120,8,-0.64,-0.33
120,9,-0.81,-0.64
120,10,-1.95,-0.67
120,11,-1.07,-0.23
120,12,-2.08,-0.74
120,13,-1.53,-0.62
120,14,-1.2,-0.34
120,15,-1.39,-0.38
120,16,-1.58,-0.37
120,17,-1.39,-0.3
120,18,-0.92,-0.26
120,19,-2.03,-0.58
120,20,-0.0,-0.19
120,21,-0.0,-0.32
120,22,-0.14,-0.32
120,23,-0.2,-0.33
120,24,-0.44,-0.34
120,25,-0.64,-0.38
121,1,0.0,0.0
121,2,0.0,0.0
121,3,0.0,0.0
121,4,0.0,0.0
121,5,0.0,0.0
121,6,0.0,0.0
121,7,-0.51,-0.12
121,8,-0.56,-0.23
121,9,-0.54,-0.21
121,10,-0.56,-0.23
121,11,-0.57,-0.22
121,12,-0.58,-0.25
121,13,-0.57,-0.22
121,14,-0.59,-0.23
121,15,-0.6,-0.22
121,16,-0.67,-0.26
121,17,-0.83,-0.35
121,18,-0.88,-0.37
121,19,-0.84,-0.42
121,20,-0.9,-0.43
121,21,-0.9,-0.43
121,22,-0.98,-0.51
121,23,-0.91,-0.47
121,24,-0.95,-0.5
121,25,-0.91,-0.49
122,1,0.0,0.0
122,2,0.0,0.0
122,3,0.0,0.0
122,4,0.0,0.0
122,5,0.0,0.0
122,6,0.0,0.0
122,7,-0.17,-0.33
122,8,0.19,0.05
122,9,-0.02,-0.13
122,10,-0.44,-0.14
122,11,1.99,0.91
122,12,1.81,0.53
122,13,1.24,1.53
122,14,2.04,2.22
122,15,1.9,1.89
122,16,1.71,1.99
122,17,1.33,1.19
122,18,0.49,0.02
122,19,1.76,0.7
122,20,1.42,0.98
122,21,1.52,1.26
122,22,0.93,0.4
122,23,1.0,0.31
122,24,0.93,-0.11
122,25,0.68,-0.34
123,1,0.0,0.0
123,2,0.0,0.0
123,3,0.0,0.0
123,4,0.0,0.0
123,5,0.0,0.0
123,6,0.0,0.0
123,7,6.16,6.07
123,8,1.51,1.67
123,9,0.74,1.2
123,10,3.76,4.3
123,11,0.15,0.12
123,12,0.17,0.39
123,13,-0.09,0.44
123,14,0.25,1.53
123,15,-0.41,-0.24
123,16,0.16,0.31
123,17,-0.24,-0.27
123,18,0.17,0.48
123,19,-0.43,-0.35
123,20,-0.19,-0.09
123,21,0.08,0.2
123,22,0.19,0.24
123,23,0.26,0.41
123,24,0.01,0.06
123,25,0.01,-0.16
124,1,0.0,0.0
124,2,0.0,0.0
124,3,0.0,0.0
124,4,0.0,0.0
124,5,0.0,0.0
124,6,0.0,0.0
124,7,-0.51,-0.34
124,8,12.33,0.32
124,9,-0.38,-0.35
124,10,-0.58,-0.54
124,11,-0.77,-0.71
124,12,-0.66,-0.66
124,13,-0.48,-0.55
124,14,-0.05,-0.5
124,15,-0.55,-0.6
124,16,-0.13,-0.25
124,17,-0.5,-0.33
124,18,-0.47,-0.35
124,19,-0.27,-0.3
124,20,-0.66,-0.45
124,21,-0.78,-0.64
124,22,-1.1,-0.85
124,23,-0.74,-0.79
124,24,-0.59,-0.68
124,25,-0.4,-0.44
125,1,0.0,0.0
125,2,0.0,0.0
125,3,0.0,0.0
125,4,0.0,0.0
125,5,0.0,0.0
125,6,0.0,0.0
125,7,0.0,0.0
125,8,0.0,0.0
125,9,0.0,0.0
125,10,0.0,0.0
125,11,-0.71,-0.27
125,12,-0.76,-0.28
125,13,-0.71,-0.32
125,14,-1.02,-0.43
125,15,-0.71,-0.42
125,16,-0.24,0.08
125,17,-0.71,-0.34
125,18,-0.71,-0.29
125,19,-1.72,-0.3
125,20,-0.92,-0.54
125,21,-7.42,-0.72
125,22,-0.71,0.29
125,23,-0.84,-0.51
125,24,-0.71,-0.51
125,25,-0.85,-0.51
126,1,0.0,0.0
126,2,0.0,0.0
126,3,0.0,0.0
126,4,0.0,0.0
126,5,0.0,0.0
126,6,0.0,0.0
126,7,1.23,-0.22
126,8,0.0,-0.29
126,9,-0.91,-0.29
126,10,-1.06,-0.35
126,11,-0.89,-0.35
126,12,0.27,-0.13
126,13,-0.55,-0.35
126,14,-0.41,-0.32
126,15,-0.91,-0.45
126,16,-0.52,-0.47
126,17,-0.54,-0.48
126,18,-0.52,-0.53
126,19,0.42,-0.37
126,20,-0.6,-0.5
126,21,-0.43,-0.49
126,22,-0.48,-0.44
126,23,0.01,-0.23
126,24,0.24,-0.04
126,25,-0.41,-0.28
127,1,0.0,0.0
127,2,0.0,0.0
127,3,0.0,0.0
127,4,0.0,0.0
127,5,0.0,0.0
127,6,0.0,0.0
127,7,2.59,-0.39
127,8,-1.5,-1.03
127,9,-1.72,-1.13
127,10,-1.07,-1.23
127,11,1.02,0.26
127,12,-1.4,-0.01
127,13,-1.63,-0.95
127,14,-0.47,-0.88
127,15,-4.4,-0.77
127,16,-1.67,-0.73
127,17,-0.94,-0.51
127,18,-0.46,-0.59
127,19,-0.65,-0.48
127,20,-0.65,-0.33
127,21,0.12,-0.34
127,22,1.7,0.28
127,23,0.15,-0.1
127,24,1.66,0.58
127,25,2.49,1.42
128,1,0.0,0.0
128,2,0.0,0.0
128,3,0.0,0.0
128,4,0.0,0.0
128,5,0.0,0.0
128,6,0.0,0.0
128,7,-0.57,-0.22
128,8,0.54,-0.09
128,9,-0.56,-0.2
128,10,-0.64,-0.19
128,11,-1.55,-0.22
128,12,-0.57,-0.24
128,13,-0.13,-0.21
128,14,-0.05,-0.21
128,15,-0.1,-0.27
128,16,-0.66,-0.32
128,17,-1.0,-0.4
128,18,-1.11,-0.49
128,19,-1.14,-0.49
128,20,-1.31,-0.59
128,21,-1.56,-0.61
128,22,-1.15,-0.62
128,23,-1.04,-0.62
128,24,-1.13,-0.57
128,25,-1.03,-0.55
129,1,0.0,0.0
129,2,0.0,0.0
129,3,0.0,0.0
129,4,0.0,0.0
129,5,0.0,0.0
129,6,0.0,0.0
129,7,9.16,-0.04
129,8,0.7,0.36
129,9,5.04,-0.05
129,10,0.56,-0.21
129,11,-0.29,-0.21
129,12,-0.29,-0.19
129,13,-0.98,-0.2
129,14,-0.96,-0.23
129,15,-1.12,-0.27
129,16,-1.04,-0.32
129,17,-0.95,-0.43
129,18,-0.83,-0.53
129,19,-1.02,-0.59
129,20,-1.62,-0.78
129,21,-1.08,-0.58
129,22,-0.63,-0.47
129,23,-0.7,-0.44
129,24,-0.62,-0.47
129,25,-0.6,-0.5
130,1,0.0,0.0
130,2,0.0,0.0
130,3,0.0,0.0
130,4,0.0,0.0
130,5,0.0,0.0
130,6,0.0,0.0
130,7,-0.91,-0.62
130,8,0.05,0.17
130,9,-0.89,-0.95
130,10,-1.14,-0.82
130,11,-1.39,-0.54
130,12,-2.45,-1.13
130,13,-1.31,-0.91
130,14,-0.64,-0.56
130,15,-0.72,-0.86
130,16,-0.7,-0.75
130,17,-0.45,-0.47
130,18,-0.63,-0.57
130,19,-0.77,-0.42
130,20,-0.71,-0.54
130,21,-0.66,-0.72
130,22,-0.76,-0.83
130,23,-0.68,-0.75
130,24,-0.7,-0.83
130,25,-0.64,-0.72
131,1,0.0,0.0
131,2,0.0,0.0
131,3,0.0,0.0
131,4,0.0,0.0
131,5,0.0,0.0
131,6,0.0,0.0
131,7,0.0,-0.24
131,8,-1.78,-0.31
131,9,-0.3,-0.28
131,10,-0.09,-0.26
131,11,-0.45,-0.35
131,12,-0.68,-0.42
131,13,2.19,0.01
131,14,-0.45,-0.36
131,15,-0.63,-0.43
131,16,-0.56,-0.4
131,17,-0.75,-0.38
131,18,-1.91,-0.46
131,19,-1.46,-0.53
131,20,-1.31,-0.48
131,21,-1.03,-0.43
131,22,-1.55,-0.48
131,23,-1.81,-0.52
131,24,-1.88,-0.51
131,25,-1.09,-0.39
132,1,0.0,0.0
132,2,-0.18,0.0
132,3,152.76,0.0
132,4,0.0,0.0
132,5,0.0,0.0
132,6,0.0,0.0
132,7,0.0,0.0
132,8,111.59,0.0
132,9,33.11,0.0
132,10,66.13,0.0
132,11,103.04,0.0
132,12,46.41,0.0
132,13,26.29,0.0
132,14,22.63,0.0
132,15,34.0,0.0
132,16,89.19,0.0
132,17,105.78,0.0
132,18,103.68,0.0
132,19,101.21,0.0
132,20,87.16,0.0
132,21,80.61,0.0
132,22,111.55,0.0
132,23,90.58,0.0
132,24,71.68,0.0
132,25,78.63,0.0
133,1,0.0,0.0
133,2,0.0,0.0
133,3,0.0,0.0
133,4,0.0,0.0
133,5,0.0,0.0
133,6,0.0,0.0
133,7,-0.71,-0.38
133,8,-0.36,-0.3
133,9,-0.41,-0.45
133,10,-0.45,-0.9
133,11,-0.56,-0.81
133,12,-0.7,-0.65
133,13,-1.28,-0.49
133,14,-0.26,-0.34
133,15,-0.74,-0.41
133,16,-1.1,-0.59
133,17,-0.68,-0.59
133,18,-1.01,-0.63
133,19,0.82,-0.28
133,20,-0.82,-0.59
133,21,-0.56,-0.38
133,22,-1.23,-0.47
133,23,0.28,-0.3
133,24,-0.76,-0.56
133,25,0.23,-0.33
134,1,0.0,0.0
134,2,0.0,0.0
134,3,0.0,0.0
134,4,0.0,0.0
134,5,0.0,0.0
134,6,0.0,0.0
134,7,-0.18,0.07
134,8,0.68,0.77
134,9,0.04,-0.6
134,10,-0.12,-0.23
134,11,-0.4,-0.73
134,12,-0.24,-0.75
134,13,0.69,0.03
134,14,1.47,0.67
134,15,3.14,-0.14
134,16,1.59,0.24
134,17,-0.94,-0.63
134,18,-0.55,-0.48
134,19,-0.84,-0.43
134,20,-0.02,-0.03
134,21,-0.31,-0.44
134,22,-0.29,-0.39
134,23,1.57,0.12
134,24,0.11,-0.25
134,25,0.77,-0.0
135,1,0.0,0.0
135,2,0.0,0.0
135,3,0.0,0.0
135,4,0.0,0.0
135,5,0.0,0.0
135,6,0.0,0.0
135,7,2.46,0.1
135,8,0.95,-0.01
135,9,3.43,0.13
135,10,4.57,-0.07
135,11,1.67,-0.16
135,12,1.52,-0.07
135,13,1.55,0.05
135,14,1.19,0.02
135,15,1.95,0.19
135,16,1.96,0.19
135,17,1.03,0.13
135,18,0.63,-0.03
135,19,0.54,0.06
135,20,0.65,0.17
135,21,-0.19,-0.01
135,22,-0.31,-0.01
135,23,-0.41,-0.06
135,24,-0.43,-0.15
135,25,-0.56,-0.3
136,1,0.0,0.0
136,2,0.0,0.0
136,3,0.0,0.0
136,4,0.0,0.0
136,5,0.0,0.0
136,6,0.0,0.0
136,7,-0.51,-0.38
136,8,-1.06,-0.4
136,9,-1.12,-0.38
136,10,0.08,1.24
136,11,0.45,1.51
136,12,-0.64,-0.36
136,13,0.75,-0.13
136,14,0.11,-0.21
136,15,1.83,0.02
136,16,0.43,-0.2
136,17,1.11,0.09
136,18,1.83,0.09
136,19,0.47,-0.28
136,20,2.14,0.42
136,21,0.56,-0.15
136,22,-0.15,-0.08
136,23,0.77,0.08
136,24,2.05,0.41
136,25,1.71,0.21
137,1,0.0,0.0
137,2,0.0,0.0
137,3,0.0,0.0
137,4,0.0,0.0
137,5,0.0,0.0
137,6,0.0,0.0
137,7,-0.65,-0.38
137,8,0.91,-0.37
137,9,-1.22,-0.58
137,10,-0.77,-0.21
137,11,2.32,1.9
137,12,0.59,0.89
137,13,-0.45,-0.49
137,14,-1.24,-0.61
137,15,-0.14,-0.24
137,16,0.29,-0.07
137,17,0.08,-0.2
137,18,-0.36,-0.3
137,19,-0.48,-0.24
137,20,0.09,0.21
137,21,0.39,0.38
137,22,-0.09,0.14
137,23,-0.07,0.08
137,24,-0.11,-0.09
137,25,-0.21,-0.19
138,1,0.0,0.0
138,2,0.0,0.0
138,3,0.0,0.0
138,4,0.0,0.0
138,5,0.0,0.0
138,6,0.0,0.0
138,7,0.07,0.51
138,8,3.46,1.25
138,9,0.89,0.89
138,10,-0.73,-0.61
138,11,-0.8,-0.78
138,12,-0.83,-0.44
138,13,-0.95,-0.57
138,14,-0.15,-0.48
138,15,-0.2,-0.24
138,16,-0.4,-0.25
138,17,0.57,-0.22
138,18,-0.82,-0.24
138,19,-0.04,-0.19
138,20,-0.65,-0.29
138,21,0.08,-0.13
138,22,-0.36,-0.19
138,23,-0.27,-0.21
138,24,-1.12,-0.3
138,25,-0.77,-0.31
139,1,0.0,0.0
139,2,0.0,0.0
139,3,0.0,0.0
139,4,0.0,0.0
139,5,0.0,0.0
139,6,0.0,0.0
139,7,0.0,-0.42
139,8,0.0,-0.39
139,9,-0.57,-0.59
139,10,1.6,-0.33
139,11,-0.86,-0.66
139,12,-4.15,-0.74
139,13,1.53,-0.5
139,14,-0.34,-0.57
139,15,0.16,-0.53
139,16,0.45,-0.42
139,17,-0.8,-0.71
139,18,-1.73,-0.7
139,19,-0.9,-0.72
139,20,0.14,-0.62
139,21,0.39,-0.71
139,22,-1.44,-0.69
139,23,-0.89,-0.89
139,24,-1.27,-0.76
139,25,-1.26,-0.98
140,1,-0.38,0.0
140,2,-0.38,0.0
140,3,-0.38,0.0
140,4,-0.38,0.0
140,5,-0.38,0.0
140,6,-0.38,0.0
140,7,-0.39,-0.29
140,8,-0.42,-0.27
140,9,-0.41,-0.51
140,10,-0.39,-1.0
140,11,-0.39,-0.49
140,12,-0.39,0.12
140,13,-0.39,0.51
140,14,-0.39,-0.04
140,15,-0.39,-0.04
140,16,-0.4,0.01
140,17,-0.42,0.04
140,18,-0.45,-0.45
140,19,-0.46,-0.46
140,20,-0.46,-0.76
140,21,-0.48,-0.65
140,22,-0.47,-0.57
140,23,-0.49,-0.61
140,24,-0.5,-0.68
140,25,-0.49,-0.61
141,1,0.0,0.0
141,2,0.0,0.0
141,3,0.0,0.0
141,4,0.0,0.0
141,5,0.0,0.0
141,6,0.0,0.0
141,7,4.94,-0.15
141,8,1.67,-0.13
141,9,0.17,0.21
141,10,-0.09,0.35
141,11,0.36,-0.29
141,12,0.43,-0.51
141,13,-0.37,-0.6
141,14,-0.68,-0.68
141,15,-0.91,-0.52
141,16,-0.54,-0.57
141,17,-0.31,-0.45
141,18,-0.28,-0.57
141,19,-0.35,-0.46
141,20,-0.03,-0.24
141,21,1.38,0.08
141,22,0.28,-0.11
141,23,-0.65,-0.15
141,24,-0.39,-0.21
141,25,-0.66,-0.39
142,1,0.0,0.0
142,2,0.0,0.0
142,3,0.0,0.0
142,4,0.0,0.0
142,5,0.0,0.0
142,6,0.0,0.0
142,7,-0.39,-0.25
142,8,-0.41,-0.31
142,9,-0.38,-0.29
142,10,-0.59,-0.31
142,11,-0.58,-0.32
142,12,-0.49,-0.44
142,13,-0.49,-0.32
142,14,-0.54,-0.29
142,15,-0.62,-0.39
142,16,-0.46,-0.28
142,17,-0.49,-0.35
142,18,-0.45,-0.47
142,19,-0.35,-0.35
142,20,-0.42,-0.37
142,21,-0.44,-0.38
142,22,-0.43,-0.47
142,23,-0.42,-0.41
142,24,-0.43,-0.45
142,25,-0.49,-0.43
143,1,0.0,0.0
143,2,0.0,0.0
143,3,0.0,0.0
143,4,0.0,0.0
143,5,0.0,0.0
143,6,0.0,0.0
143,7,0.0,0.02
143,8,0.0,-0.31
143,9,-0.41,-0.41
143,10,-0.04,-0.42
143,11,8.45,2.65
143,12,1.71,0.38
143,13,0.86,-0.06
143,14,-0.51,-0.66
143,15,0.44,-0.48
143,16,1.37,-0.18
143,17,3.0,-0.3
143,18,0.01,-0.39
143,19,-0.51,-0.4
143,20,0.85,-0.33
143,21,0.36,-0.44
143,22,0.22,-0.41
143,23,1.0,-0.31
